"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department of Homeless Services","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","156361270.3","Collected Revenue"
"2","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","54438112","Collected Unearned Revenue Roll"
"3","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","33730232","Collected Unearned Revenue Roll"
"4","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","32767287","Unbilled Revenue"
"5","Department of Homeless Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","27614868","Collected Unearned Revenue Roll"
"6","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2012","","","24674550","Collected Unearned Revenue Roll"
"7","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","24575036","Collected Unearned Revenue Roll"
"8","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","21701396.06","Collected Unearned Revenue Roll"
"9","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","21480910","Collected Revenue"
"10","Department of Homeless Services","Federal Grants-Categorical","ARRA TANF EMERGENCY CONTINGENCY","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","21480910","Collected Revenue"
"11","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","19240178","Billed Revenue"
"12","Department of Homeless Services","State Grants-Categorical","ADULT SHELTER CAP","General Fund","STATE","SOCIAL SERVICES","2011","2011","","","18968602","Collected Unearned Revenue Roll"
"13","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","18863050","Collected Revenue"
"14","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","18863050","Billed Revenue"
"15","Department of Homeless Services","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","18242510.23","Collected Revenue"
"16","Department of Homeless Services","Federal Grants-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2011","2011","","","17409945","Collected Unearned Revenue Roll"
"17","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","16443915","Collected Revenue"
"18","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","16406894","Billed Revenue"
"19","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","16406894","Collected Revenue"
"20","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","15956082","Billed Revenue"
"21","Department of Homeless Services","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","15956082","Collected Revenue"
